x,y,z
21.66,16.986,4.122
21.633,17.091,4.123
21.603,17.196,4.124
21.566,17.298,4.126
21.516,17.396,4.131
21.479,17.464,4.135
21.445,17.534,4.137
21.413,17.605,4.138
21.382,17.677,4.14
21.351,17.748,4.141
21.319,17.819,4.143
21.283,17.888,4.145
21.244,17.955,4.148
21.202,18.02,4.152
21.156,18.083,4.157
21.108,18.145,4.162
21.06,18.206,4.167
21.012,18.267,4.173
20.965,18.329,4.178
20.921,18.392,4.183
20.574,18.78,4.236
20.184,19.122,4.317
19.762,19.412,4.426
19.32,19.673,4.537
18.842,19.865,4.632
18.343,20.018,4.681
17.825,20.091,4.715
17.302,20.126,4.722
16.778,20.094,4.735
16.259,20.023,4.743
15.749,19.901,4.756
15.255,19.727,4.78
14.775,19.517,4.802
14.33,19.244,4.847
13.901,18.944,4.886
13.484,18.548,4.97
13.097,18.125,5.061
12.753,17.67,5.176
12.445,17.199,5.32
12.145,16.729,5.487
11.869,16.264,5.698
11.592,15.812,5.938
11.327,15.385,6.228
11.054,14.993,6.56
10.772,14.637,6.922
10.49,14.312,7.314
10.229,14.014,7.74
9.967,13.733,8.176
9.715,13.472,8.63
9.466,13.23,9.097
9.448,13.214,9.13
9.431,13.198,9.163
9.414,13.182,9.197
9.397,13.166,9.231
9.379,13.15,9.264
9.362,13.135,9.298
9.345,13.119,9.332
9.328,13.104,9.366
9.311,13.088,9.399
9.293,13.073,9.433
9.276,13.058,9.467
9.259,13.043,9.501
9.242,13.028,9.535
9.225,13.013,9.57
9.225,13.013,9.57
12.667,9.99,14.743
12.659,9.966,14.71
12.652,9.943,14.677
12.645,9.92,14.644
12.64,9.896,14.611
12.635,9.872,14.578
12.63,9.848,14.546
12.626,9.824,14.513
12.623,9.8,14.48
12.62,9.775,14.448
12.619,9.751,14.415
12.617,9.726,14.382
12.617,9.701,14.35
12.617,9.676,14.317
12.617,9.651,14.285
12.665,9.492,14.042
12.762,9.321,13.823
12.885,9.163,13.608
13.019,9.04,13.376
13.147,8.921,13.139
13.275,8.805,12.901
13.411,8.71,12.658
13.553,8.618,12.417
13.707,8.546,12.177
13.868,8.491,11.937
14.034,8.445,11.699
14.215,8.441,11.467
14.402,8.447,11.24
14.591,8.451,11.014
14.783,8.479,10.793
15.111,8.533,10.401
15.432,8.626,10.01
15.753,8.758,9.631
16.077,8.928,9.271
16.41,9.1,8.919
16.754,9.27,8.577
17.116,9.435,8.251
17.493,9.629,7.962
17.892,9.831,7.707
18.314,10.024,7.487
18.743,10.245,7.312
19.169,10.497,7.173
19.601,10.748,7.054
19.995,11.068,6.974
20.388,11.393,6.912
20.885,11.966,6.92
21.312,12.573,7.065
21.646,13.199,7.335
21.877,13.835,7.68
22.079,14.457,8.067
22.205,15.067,8.502
22.334,15.646,8.977
22.414,16.182,9.509
22.5,16.679,10.079
22.554,17.156,10.667
22.519,17.611,11.274
22.436,18.045,11.893
22.262,18.445,12.514
21.932,18.786,13.107
21.545,19.088,13.687
21.49,19.123,13.767
21.431,19.159,13.843
21.37,19.195,13.919
21.312,19.231,13.995
21.256,19.266,14.075
21.2,19.299,14.156
21.143,19.329,14.236
21.082,19.354,14.315
21.016,19.376,14.391
20.947,19.393,14.467
20.878,19.406,14.543
20.81,19.415,14.62
20.744,19.421,14.699
20.68,19.422,14.779
20.618,19.419,14.862
20.568,19.413,14.932
20.518,19.399,14.999
20.468,19.378,15.065
20.419,19.351,15.13
20.371,19.319,15.193
20.327,19.282,15.257
20.285,19.242,15.319
20.246,19.199,15.382
20.209,19.154,15.445
20.174,19.107,15.507
20.14,19.059,15.569
20.108,19.008,15.629
20.075,18.954,15.685
20.041,18.894,15.736
20.041,18.894,15.736
21.385,18.932,14.13
21.398,18.942,14.098
21.41,18.952,14.066
21.422,18.962,14.035
21.434,18.972,14.003
21.446,18.982,13.971
21.458,18.993,13.939
21.469,19.004,13.908
21.481,19.015,13.876
21.492,19.027,13.845
21.503,19.039,13.813
21.514,19.051,13.781
21.524,19.063,13.75
21.535,19.075,13.718
21.545,19.088,13.687
21.679,19.726,12.404
21.282,20.26,11.127
20.577,20.76,9.975
19.505,21.264,9.153
18.229,21.642,8.593
16.855,21.781,8.169
15.46,21.652,7.818
14.108,21.246,7.519
12.859,20.554,7.309
11.799,19.58,7.234
10.99,18.386,7.29
10.409,17.074,7.46
10.013,15.721,7.778
9.723,14.403,8.295
9.466,13.23,9.097
9.4,13.01,9.291
9.34,12.803,9.501
9.298,12.618,9.735
9.258,12.445,9.978
9.216,12.277,10.225
9.2,12.13,10.487
9.196,11.99,10.754
9.194,11.85,11.02
9.229,11.724,11.292
9.263,11.593,11.561
9.316,11.473,11.831
9.39,11.37,12.105
9.487,11.296,12.379
9.601,11.248,12.654
9.715,11.211,12.931
9.728,11.21,12.958
9.741,11.208,12.985
9.755,11.207,13.012
9.768,11.206,13.039
9.781,11.204,13.066
9.795,11.203,13.094
9.808,11.202,13.121
9.821,11.201,13.148
9.834,11.2,13.175
9.847,11.199,13.203
9.86,11.198,13.23
9.873,11.197,13.257
9.886,11.196,13.285
9.899,11.195,13.312
9.899,11.195,13.312
19.624,18.8,16.023
19.624,18.839,16.006
19.623,18.879,15.989
19.622,18.919,15.972
19.62,18.958,15.956
19.618,18.998,15.939
19.616,19.038,15.923
19.612,19.078,15.908
19.609,19.118,15.892
19.604,19.158,15.877
19.6,19.198,15.862
19.594,19.238,15.848
19.588,19.278,15.833
19.582,19.318,15.819
19.575,19.358,15.805
18.992,20.666,15.197
18.141,21.674,14.36
17.19,22.411,13.359
15.95,22.808,12.51
14.482,22.816,11.986
12.993,22.51,11.621
11.592,21.888,11.316
10.353,20.963,11.095
9.383,19.742,11.044
8.72,18.33,11.145
8.355,16.816,11.279
8.266,15.263,11.448
8.445,13.74,11.742
8.922,12.326,12.207
9.715,11.211,12.931
9.92,11.102,13.197
10.098,11.048,13.498
10.28,11.044,13.801
10.461,11.065,14.105
10.644,11.11,14.403
10.845,11.191,14.683
11.038,11.287,14.964
11.244,11.418,15.22
11.445,11.571,15.468
11.641,11.744,15.706
11.84,11.948,15.916
12.026,12.166,16.124
12.207,12.38,16.34
12.379,12.587,16.569
12.555,12.791,16.799
12.734,12.98,17.442
12.971,12.772,18.015
13.534,12.379,18.112
14.173,12.104,18.103
14.847,11.943,18.169
15.536,11.891,18.26
16.227,11.945,18.325
16.902,12.109,18.378
17.537,12.388,18.43
18.103,12.786,18.497
18.558,13.297,18.611
18.88,13.86,18.856
19.082,14.401,19.243
19.204,14.9,19.713
19.204,14.9,19.713
12.553,13.227,17.539
12.565,13.204,17.482
12.575,13.18,17.426
12.581,13.154,17.371
12.585,13.127,17.316
12.587,13.098,17.261
12.588,13.068,17.207
12.586,13.036,17.154
12.583,13.004,17.101
12.58,12.97,17.049
12.575,12.936,16.998
12.57,12.9,16.947
12.565,12.864,16.897
12.56,12.828,16.848
12.555,12.791,16.799
12.481,12.581,16.635
12.43,12.369,16.464
12.385,12.155,16.294
12.341,11.932,16.136
12.293,11.705,15.983
12.25,11.479,15.83
12.211,11.25,15.679
12.191,11.034,15.507
12.181,10.818,15.334
12.183,10.603,15.159
12.208,10.4,14.973
12.263,10.212,14.778
12.352,10.022,14.596
12.468,9.833,14.431
12.617,9.651,14.285
13.647,9.034,13.749
14.867,8.693,13.389
16.151,8.591,13.1
17.441,8.699,12.842
18.692,9.04,12.589
19.865,9.603,12.364
20.89,10.422,12.218
21.69,11.473,12.214
22.25,12.665,12.332
22.567,13.936,12.512
22.662,15.23,12.762
22.509,16.487,13.128
22.109,17.627,13.655
21.47,18.614,14.255
20.618,19.419,14.862
20.551,19.463,14.918
20.477,19.5,14.971
20.4,19.529,15.024
20.323,19.55,15.081
20.247,19.562,15.141
20.173,19.567,15.205
20.101,19.564,15.272
20.032,19.554,15.341
19.966,19.539,15.411
19.902,19.518,15.482
19.839,19.495,15.554
19.777,19.468,15.624
19.714,19.439,15.692
19.647,19.403,15.753
19.575,19.358,15.805
19.024,19.048,16.286
18.535,18.701,16.795
18.388,18.438,17.512
18.031,18.736,18.112
17.387,19.106,18.376
16.636,19.312,18.509
15.849,19.375,18.584
15.057,19.33,18.621
14.28,19.172,18.609
13.549,18.872,18.558
12.903,18.417,18.594
12.41,17.827,18.784
12.074,17.161,19.05
11.873,16.459,19.362
11.873,16.459,19.362
